country_code,country,year,population,age_range,rate_type,suicide_rate,lower_bound,upper_bound
51,Armenia,2019,Total,30 to 49 years,RATE_PER_100000,2.71,,
51,Armenia,2019,Total,45 to 54 years,RATE_PER_100000,4.48,,
51,Armenia,2019,Female,45 to 54 years,RATE_PER_100000,1.31,,
51,Armenia,2019,Female,55 to 64 years,RATE_PER_100000,1.49,,
51,Armenia,2019,Female,85 plus years,RATE_PER_100000,5.38,,
51,Armenia,2019,Male,15 to 19 years,RATE_PER_100000,0.46,,
51,Armenia,2019,Male,30 to 49 years,RATE_PER_100000,4.84,,
51,Armenia,2019,Male,55 to 64 years,RATE_PER_100000,9.33,,
51,Armenia,2019,Male,65 to 74 years,RATE_PER_100000,13.55,,
51,Armenia,2019,Male,75 to 84 years,RATE_PER_100000,33.56,,
51,Armenia,2019,Male,Total years,RATE_PER_100000,5.58,4.13,7.4
28,Antigua and Barbuda,2019,Total,25 to 34 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,15 to 19 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,75 to 84 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,85 plus years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,15 to 29 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,45 to 54 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,15 to 24 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,25 to 34 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,45 to 54 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,55 to 64 years,RATE_PER_100000,6.93,,
28,Antigua and Barbuda,2019,Female,65 to 74 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,25 to 34 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,55 to 64 years,RATE_PER_100000,0,,
36,Australia,2019,Total,75 to 84 years,RATE_PER_100000,14.51,,
36,Australia,2019,Female,15 to 29 years,RATE_PER_100000,5.76,,
28,Antigua and Barbuda,2019,Male,Total years,RATE_PER_100000,0,0,0
36,Australia,2019,Total,25 to 34 years,RATE_PER_100000,14.36,,
36,Australia,2019,Female,15 to 24 years,RATE_PER_100000,5.71,,
36,Australia,2019,Female,Total years,RATE_PER_100000,6.42,5.07,7.94
36,Australia,2019,Male,25 to 34 years,RATE_PER_100000,22.18,,
36,Australia,2019,Male,45 to 54 years,RATE_PER_100000,27.7,,
36,Australia,2019,Male,85 plus years,RATE_PER_100000,27.16,,
40,Austria,2019,Total,45 to 54 years,RATE_PER_100000,19.65,,
36,Australia,2019,Female,35 to 44 years,RATE_PER_100000,8.08,,
36,Australia,2019,Female,45 to 54 years,RATE_PER_100000,10.15,,
36,Australia,2019,Female,65 to 74 years,RATE_PER_100000,5.93,,
36,Australia,2019,Male,55 to 64 years,RATE_PER_100000,24.8,,
36,Australia,2019,Male,65 to 74 years,RATE_PER_100000,17.12,,
36,Australia,2019,Male,75 to 84 years,RATE_PER_100000,20.93,,
36,Australia,2019,Male,Total years,RATE_PER_100000,18.6208,15.3954,26.7867
40,Austria,2019,Total,15 to 19 years,RATE_PER_100000,6.44,,
40,Austria,2019,Total,15 to 24 years,RATE_PER_100000,7.77,,
40,Austria,2019,Total,15 to 29 years,RATE_PER_100000,7.9,,
40,Austria,2019,Total,25 to 34 years,RATE_PER_100000,9.58,,
40,Austria,2019,Total,55 to 64 years,RATE_PER_100000,17.24,,
32,Argentina,2019,Female,15 to 24 years,RATE_PER_100000,6.16,,
32,Argentina,2019,Female,Total years,RATE_PER_100000,3.32,2.59,4.17
32,Argentina,2019,Male,15 to 19 years,RATE_PER_100000,13.06,,
32,Argentina,2019,Male,15 to 24 years,RATE_PER_100000,17.21,,
32,Argentina,2019,Male,35 to 44 years,RATE_PER_100000,15.78,,
32,Argentina,2019,Male,85 plus years,RATE_PER_100000,45.21,,
51,Armenia,2019,Total,15 to 19 years,RATE_PER_100000,1.01,,
51,Armenia,2019,Total,15 to 29 years,RATE_PER_100000,1.26,,
51,Armenia,2019,Total,25 to 34 years,RATE_PER_100000,1.44,,
51,Armenia,2019,Total,65 to 74 years,RATE_PER_100000,6.61,,
51,Armenia,2019,Total,85 plus years,RATE_PER_100000,27.89,,
51,Armenia,2019,Female,15 to 19 years,RATE_PER_100000,1.66,,
40,Austria,2019,Total,85 plus years,RATE_PER_100000,34.32,,
40,Austria,2019,Total,Total years,RATE_PER_100000,14.5966,11.9369,17.6655
40,Austria,2019,Female,15 to 24 years,RATE_PER_100000,2.7,,
40,Austria,2019,Female,15 to 29 years,RATE_PER_100000,2.6,,
40,Austria,2019,Female,15 to 19 years,RATE_PER_100000,2.43,,
40,Austria,2019,Female,85 plus years,RATE_PER_100000,9.82,,
40,Austria,2019,Male,15 to 24 years,RATE_PER_100000,12.51,,
40,Austria,2019,Male,25 to 34 years,RATE_PER_100000,16.2,,
51,Armenia,2019,Female,15 to 29 years,RATE_PER_100000,1.24,,
51,Armenia,2019,Female,30 to 49 years,RATE_PER_100000,0.89,,
51,Armenia,2019,Male,15 to 29 years,RATE_PER_100000,1.29,,
28,Antigua and Barbuda,2019,Total,15 to 29 years,RATE_PER_100000,0,,
40,Austria,2019,Male,30 to 49 years,RATE_PER_100000,22.43,,
40,Austria,2019,Male,85 plus years,RATE_PER_100000,84.43,,
40,Austria,2019,Male,Total years,RATE_PER_100000,22.7871,18.791,27.3584
31,Azerbaijan,2019,Total,15 to 19 years,RATE_PER_100000,2.94,,
28,Antigua and Barbuda,2019,Total,35 to 44 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Total,45 to 54 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,15 to 29 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,35 to 44 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Female,Total years,RATE_PER_100000,0.757,0.516,1.08
31,Azerbaijan,2019,Total,25 to 34 years,RATE_PER_100000,4.89,,
31,Azerbaijan,2019,Total,35 to 44 years,RATE_PER_100000,5.42,,
31,Azerbaijan,2019,Total,85 plus years,RATE_PER_100000,23.97,,
31,Azerbaijan,2019,Female,15 to 19 years,RATE_PER_100000,1.25,,
28,Antigua and Barbuda,2019,Male,15 to 19 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,30 to 49 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Male,75 to 84 years,RATE_PER_100000,0,,
36,Australia,2019,Total,15 to 19 years,RATE_PER_100000,10.22,,
36,Australia,2019,Total,15 to 24 years,RATE_PER_100000,11.8,,
31,Azerbaijan,2019,Female,Total years,RATE_PER_100000,1.56,0.924,2.48
31,Azerbaijan,2019,Male,15 to 29 years,RATE_PER_100000,7.16,,
31,Azerbaijan,2019,Male,35 to 44 years,RATE_PER_100000,9.42,,
31,Azerbaijan,2019,Male,45 to 54 years,RATE_PER_100000,9.14,,
31,Azerbaijan,2019,Male,55 to 64 years,RATE_PER_100000,9.5,,
31,Azerbaijan,2019,Male,65 to 74 years,RATE_PER_100000,10.93,,
31,Azerbaijan,2019,Male,75 to 84 years,RATE_PER_100000,15.22,,
31,Azerbaijan,2019,Male,Total years,RATE_PER_100000,6.64,3.86,10.5353
36,Australia,2019,Total,35 to 44 years,RATE_PER_100000,17.17,,
36,Australia,2019,Total,45 to 54 years,RATE_PER_100000,18.83,,
36,Australia,2019,Female,15 to 19 years,RATE_PER_100000,5.94,,
36,Australia,2019,Female,25 to 34 years,RATE_PER_100000,6.37,,
40,Austria,2019,Male,35 to 44 years,RATE_PER_100000,20.53,,
31,Azerbaijan,2019,Total,45 to 54 years,RATE_PER_100000,5.25,,
31,Azerbaijan,2019,Total,65 to 74 years,RATE_PER_100000,6.82,,
31,Azerbaijan,2019,Male,85 plus years,RATE_PER_100000,38.35,,
36,Australia,2019,Male,15 to 24 years,RATE_PER_100000,17.65,,
36,Australia,2019,Male,15 to 29 years,RATE_PER_100000,18.55,,
36,Australia,2019,Male,35 to 44 years,RATE_PER_100000,26.32,,
40,Austria,2019,Total,30 to 49 years,RATE_PER_100000,14.43,,
40,Austria,2019,Total,65 to 74 years,RATE_PER_100000,18.1,,
40,Austria,2019,Female,30 to 49 years,RATE_PER_100000,6.33,,
40,Austria,2019,Female,35 to 44 years,RATE_PER_100000,7.61,,
40,Austria,2019,Female,45 to 54 years,RATE_PER_100000,11.71,,
108,Burundi,2019,Total,15 to 29 years,RATE_PER_100000,4.82,,
108,Burundi,2019,Total,45 to 54 years,RATE_PER_100000,18.63,,
108,Burundi,2019,Total,Total years,RATE_PER_100000,6.24,3.63,10.2543
108,Burundi,2019,Female,55 to 64 years,RATE_PER_100000,16.95,,
40,Austria,2019,Female,55 to 64 years,RATE_PER_100000,9.04,,
40,Austria,2019,Female,65 to 74 years,RATE_PER_100000,7.04,,
40,Austria,2019,Female,75 to 84 years,RATE_PER_100000,11.39,,
40,Austria,2019,Female,Total years,RATE_PER_100000,6.65,5.29,8.26
108,Burundi,2019,Total,15 to 19 years,RATE_PER_100000,3.64,,
108,Burundi,2019,Total,25 to 34 years,RATE_PER_100000,5.99,,
108,Burundi,2019,Total,30 to 49 years,RATE_PER_100000,9.03,,
108,Burundi,2019,Total,55 to 64 years,RATE_PER_100000,30.02,,
40,Austria,2019,Male,15 to 19 years,RATE_PER_100000,10.21,,
40,Austria,2019,Male,45 to 54 years,RATE_PER_100000,27.58,,
40,Austria,2019,Male,55 to 64 years,RATE_PER_100000,25.64,,
40,Austria,2019,Male,65 to 74 years,RATE_PER_100000,30.75,,
31,Azerbaijan,2019,Total,15 to 24 years,RATE_PER_100000,4,,
31,Azerbaijan,2019,Total,55 to 64 years,RATE_PER_100000,5.7,,
31,Azerbaijan,2019,Total,Total years,RATE_PER_100000,4.09,2.39,6.5
31,Azerbaijan,2019,Female,15 to 24 years,RATE_PER_100000,1.34,,
108,Burundi,2019,Male,15 to 19 years,RATE_PER_100000,4.87,,
108,Burundi,2019,Male,15 to 24 years,RATE_PER_100000,6.42,,
56,Belgium,2019,Total,15 to 24 years,RATE_PER_100000,6.83,,
56,Belgium,2019,Total,15 to 29 years,RATE_PER_100000,8.84,,
31,Azerbaijan,2019,Female,45 to 54 years,RATE_PER_100000,1.73,,
31,Azerbaijan,2019,Female,55 to 64 years,RATE_PER_100000,2.35,,
31,Azerbaijan,2019,Female,65 to 74 years,RATE_PER_100000,3.57,,
31,Azerbaijan,2019,Female,75 to 84 years,RATE_PER_100000,7.36,,
108,Burundi,2019,Total,65 to 74 years,RATE_PER_100000,42.37,,
108,Burundi,2019,Total,85 plus years,RATE_PER_100000,130.95,,
108,Burundi,2019,Female,15 to 19 years,RATE_PER_100000,2.41,,
108,Burundi,2019,Female,15 to 24 years,RATE_PER_100000,2.43,,
31,Azerbaijan,2019,Male,25 to 34 years,RATE_PER_100000,8.43,,
31,Azerbaijan,2019,Male,30 to 49 years,RATE_PER_100000,9.01,,
108,Burundi,2019,Total,15 to 24 years,RATE_PER_100000,4.42,,
108,Burundi,2019,Total,75 to 84 years,RATE_PER_100000,59.01,,
108,Burundi,2019,Female,25 to 34 years,RATE_PER_100000,2.7,,
108,Burundi,2019,Male,25 to 34 years,RATE_PER_100000,9.35,,
108,Burundi,2019,Male,30 to 49 years,RATE_PER_100000,14.47,,
108,Burundi,2019,Male,45 to 54 years,RATE_PER_100000,29.32,,
108,Burundi,2019,Female,35 to 44 years,RATE_PER_100000,3.82,,
108,Burundi,2019,Female,65 to 74 years,RATE_PER_100000,23.86,,
108,Burundi,2019,Female,75 to 84 years,RATE_PER_100000,32.5,,
108,Burundi,2019,Female,85 plus years,RATE_PER_100000,66.38,,
108,Burundi,2019,Male,65 to 74 years,RATE_PER_100000,64.35,,
108,Burundi,2019,Male,75 to 84 years,RATE_PER_100000,97.84,,
108,Burundi,2019,Male,85 plus years,RATE_PER_100000,243.84,,
56,Belgium,2019,Total,30 to 49 years,RATE_PER_100000,21.56,,
56,Belgium,2019,Total,65 to 74 years,RATE_PER_100000,22.25,,
56,Belgium,2019,Total,75 to 84 years,RATE_PER_100000,29.72,,
56,Belgium,2019,Total,85 plus years,RATE_PER_100000,33.51,,
56,Belgium,2019,Female,15 to 19 years,RATE_PER_100000,2.99,,
4,Afghanistan,2019,Male,30 to 49 years,RATE_PER_100000,9.91,,
4,Afghanistan,2019,Male,65 to 74 years,RATE_PER_100000,7.7,,
953,Africa,2019,Total,Total years,RATE_PER_100000,6.9,4.15,10.7873
24,Angola,2019,Total,75 to 84 years,RATE_PER_100000,63.54,,
56,Belgium,2019,Female,30 to 49 years,RATE_PER_100000,11.77,,
56,Belgium,2019,Female,35 to 44 years,RATE_PER_100000,11.08,,
56,Belgium,2019,Female,55 to 64 years,RATE_PER_100000,19.95,,
56,Belgium,2019,Female,65 to 74 years,RATE_PER_100000,13.23,,
24,Angola,2019,Total,Total years,RATE_PER_100000,6.08,3.63,9.62
24,Angola,2019,Female,15 to 19 years,RATE_PER_100000,1.19,,
24,Angola,2019,Female,55 to 64 years,RATE_PER_100000,12.84,,
24,Angola,2019,Female,Total years,RATE_PER_100000,2.3,1.3,3.75
108,Burundi,2019,Male,55 to 64 years,RATE_PER_100000,44.65,,
56,Belgium,2019,Female,15 to 29 years,RATE_PER_100000,4.36,,
56,Belgium,2019,Female,25 to 34 years,RATE_PER_100000,6.39,,
56,Belgium,2019,Female,Total years,RATE_PER_100000,11.8395,9.37,14.6199
56,Belgium,2019,Male,15 to 19 years,RATE_PER_100000,6.63,,
56,Belgium,2019,Male,30 to 49 years,RATE_PER_100000,31.14,,
56,Belgium,2019,Male,45 to 54 years,RATE_PER_100000,36.17,,
56,Belgium,2019,Male,85 plus years,RATE_PER_100000,60.78,,
204,Benin,2019,Total,25 to 34 years,RATE_PER_100000,8.3,,
204,Benin,2019,Total,55 to 64 years,RATE_PER_100000,28.54,,
204,Benin,2019,Total,Total years,RATE_PER_100000,7.81,4.54,12.774
204,Benin,2019,Female,15 to 24 years,RATE_PER_100000,2.86,,
204,Benin,2019,Female,45 to 54 years,RATE_PER_100000,7.82,,
204,Benin,2019,Female,65 to 74 years,RATE_PER_100000,23.83,,
204,Benin,2019,Male,15 to 24 years,RATE_PER_100000,7.98,,
204,Benin,2019,Male,75 to 84 years,RATE_PER_100000,92.87,,
24,Angola,2019,Male,15 to 29 years,RATE_PER_100000,7.14,,
24,Angola,2019,Male,35 to 44 years,RATE_PER_100000,14.44,,
8,Albania,2019,Total,35 to 44 years,RATE_PER_100000,4.89,,
8,Albania,2019,Total,75 to 84 years,RATE_PER_100000,9.89,,
56,Belgium,2019,Female,75 to 84 years,RATE_PER_100000,19.78,,
56,Belgium,2019,Male,65 to 74 years,RATE_PER_100000,32.21,,
56,Belgium,2019,Male,75 to 84 years,RATE_PER_100000,42.98,,
56,Belgium,2019,Male,Total years,RATE_PER_100000,24.8808,20.5373,29.7262
204,Benin,2019,Total,15 to 24 years,RATE_PER_100000,5.45,,
204,Benin,2019,Total,30 to 49 years,RATE_PER_100000,11.4,,
